Type,Key,Summary,Description,Priority,Story Points,Sprint,Parent,Assignee Role,Labels
Epic,EPIC-001,Project Management,"Core project tracking, task management, milestone tracking, and Kanban/list views to replace spreadsheet-based project tracking.",Critical,,,,,"project-management"
Story,US-001,"As a Project Manager, I want to view a centralized dashboard of all active projects so that I can monitor status, deadlines, and team assignments at a glance","Implement a centralized project dashboard displaying all active projects with their current status, assigned team members, deadlines, and completion percentages.",Critical,8,Sprint 2,EPIC-001,,"project-management,dashboard,core"
Task,T-001,"Build project dashboard REST API with filtering, sorting, and pagination",,Critical,,Sprint 2,US-001,Backend Dev,"backend,api"
Task,T-002,"Implement project dashboard UI with data table, filters, and real-time indicators",,Critical,,Sprint 2,US-001,Frontend Dev,"frontend,ui"
Task,T-003,"Write E2E tests for dashboard filtering, sorting, pagination, and real-time updates",,Critical,,Sprint 2,US-001,QA Engineer,"qa,testing"
Story,US-002,"As an Administrator, I want to create, edit, and archive projects with configurable fields so that project records are complete and organized","Enable project CRUD operations with configurable fields including project name, client, start date, deadline, budget, assigned team, and project phases/milestones.",Critical,5,Sprint 2,EPIC-001,,"project-management,crud,core"
Task,T-004,Build Project domain model and CRUD REST APIs with validation,,Critical,,Sprint 2,US-002,Backend Dev,"backend,api"
Task,T-005,Implement project creation wizard and edit forms with field validation,,Critical,,Sprint 2,US-002,Frontend Dev,"frontend,ui"
Task,T-006,"Test project CRUD operations, archival, and search for archived projects",,Critical,,Sprint 2,US-002,QA Engineer,"qa,testing"
Story,US-003,"As a Team Member, I want to manage tasks within projects with status tracking and dependencies so that I can organize and track my work","Implement task management with creation, assignment, due dates, status tracking, and predecessor/successor dependencies.",Critical,8,Sprint 2,EPIC-001,,"project-management,tasks,core"
Task,T-007,"Build Task domain model, status workflow engine, and dependency graph logic",,Critical,,Sprint 2,US-003,Backend Dev,"backend,api"
Task,T-008,"Implement task list view with inline editing, status transitions, and dependency indicators",,Critical,,Sprint 2,US-003,Frontend Dev,"frontend,ui"
Task,T-009,"Test task workflow transitions, dependency validation, and edge cases",,Critical,,Sprint 2,US-003,QA Engineer,"qa,testing"
Story,US-004,"As a Project Manager, I want to define milestones with target dates and client approval requirements so that I can track project progress against key deliverables","Implement milestone definition within projects with configurable names, target dates, deliverable associations, and client approval flags.",Critical,5,Sprint 2,EPIC-001,,"project-management,milestones,core"
Task,T-010,Build Milestone service with approval state machine and notification triggers,,Critical,,Sprint 2,US-004,Backend Dev,"backend,api"
Task,T-011,Implement milestone timeline component and approval UI,,Critical,,Sprint 2,US-004,Frontend Dev,"frontend,ui"
Task,T-012,"Test milestone approval flows, notifications, and edge cases",,Critical,,Sprint 2,US-004,QA Engineer,"qa,testing"
Story,US-005,"As a Team Member, I want to use a Kanban board with drag-and-drop to move tasks between status columns so that I can visually manage my workflow","Provide Kanban and list views for task management within each project, allowing team members to drag-and-drop tasks between status columns.",High,5,Sprint 3,EPIC-001,,"project-management,kanban,ux"
Task,T-013,Build Kanban board API endpoints with real-time status update support via WebSocket,,High,,Sprint 3,US-005,Backend Dev,"backend,api"
Task,T-014,Implement Kanban board UI with drag-and-drop and list view toggle,,High,,Sprint 3,US-005,Frontend Dev,"frontend,ui"
Task,T-015,Test Kanban drag-and-drop across browsers and real-time sync between users,,High,,Sprint 3,US-005,QA Engineer,"qa,testing"
Epic,EPIC-002,Client Portal,"Client-facing portal with project dashboards, deliverable review, milestone approvals, messaging, and email notifications.",Critical,,,,,"client-portal"
Story,US-006,"As a Client User, I want to log in to a dedicated portal and view my project dashboard so that I can check project status without contacting the team","Provide a dedicated client-facing portal with strict data isolation where client users can log in and view their project dashboard.",Critical,8,Sprint 4,EPIC-002,,"client-portal,dashboard,security"
Task,T-016,Build client portal API layer with tenant isolation middleware,,Critical,,Sprint 4,US-006,Backend Dev,"backend,api"
Task,T-017,Build client portal UI shell with separate theme and client dashboard,,Critical,,Sprint 4,US-006,Frontend Dev,"frontend,ui"
Task,T-018,Test client data isolation with cross-tenant access penetration tests,,Critical,,Sprint 4,US-006,QA Engineer,"qa,testing"
Story,US-007,"As a Client User, I want to view and download deliverables and approve or request revisions on milestones so that I can provide timely feedback","Allow client users to view and download deliverables and approve or request revisions on milestones through the portal.",Critical,5,Sprint 4,EPIC-002,,"client-portal,deliverables,approval"
Task,T-019,Build deliverable approval state machine and notification triggers for client actions,,Critical,,Sprint 4,US-007,Backend Dev,"backend,api"
Task,T-020,"Implement deliverable review interface with download, approve, and revision request UI",,Critical,,Sprint 4,US-007,Frontend Dev,"frontend,ui"
